Time,Lat,Lon,Dpth,ODO,Turb,Ct,pH,Temp,ORP,BGA
1660762136725180,0.0,0.0,3.6999998092651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762195817495,0.0,0.0,4.279999732971191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762256298153,0.0,0.0,2.8999998569488525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762316058365,0.0,0.0,2.369999885559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762375830569,0.0,0.0,4.619999885559082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762436419165,0.0,0.0,3.2799999713897705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762496404858,0.0,0.0,1.6899999380111694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762555810585,0.0,0.0,3.2899999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762615578581,0.0,0.0,3.559999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762676321426,0.0,0.0,2.5399999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762736108868,0.0,0.0,3.18999981880188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762796582548,0.0,0.0,1.6899999380111694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762856317167,0.0,0.0,2.559999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762916058842,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660762975814546,0.0,0.0,3.7200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763036555234,0.0,0.0,3.7300000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763095305463,0.0,0.0,3.169999837875366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763156309112,0.0,0.0,3.7200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763216069788,0.0,0.0,3.7200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763275544193,0.0,0.0,2.5399999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763335814631,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763395814649,0.0,0.0,2.759999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763456325271,0.0,0.0,2.919999837875366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763516562627,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763576149016,0.0,0.0,3.3399999141693115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763635890846,0.0,0.0,2.379999876022339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763695892720,0.0,0.0,1.71999990940094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763756320180,0.0,0.0,3.68999981880188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763816165989,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763876132806,0.0,0.0,1.6999999284744263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660763936564564,0.0,0.0,2.549999952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
